id;name;website;description
1575;Skrypt AB;https://www.skryptlabs.com/;Skrypt AI Labs bygger intelligenta automationslösningar som förenklar klinisk dokumentation och optimerar vårdflöden. Med AI-driven dokumentation i realtid hjälper Skrypt kliniker att effektivisera sitt arbetsflöde och fokusera mer på patientvård. Plattformen erbjuder streamlinade lösningar för att hantera den administrativa bördan inom sjukvården.
2024;Finansinspektionen;finansinspektionen.se;Finansinspektionen är Sveriges finansiella tillsynsmyndighet som arbetar för ett stabilt finansiellt system och högt konsumentskydd. Myndigheten övervakar banker, försäkringsbolag, värdepappersmarknaden och andra finansiella aktörer för att säkerställa regelefterlevnad och marknadsstabilitet. FI granskar också penningtvätt, cybersäkerhet och bidrar till en hållbar utveckling av den finansiella sektorn.
1414;Deeplogic AI;https://deeplogicai.tech/;DeepLogic AI är ett svenskt AI-konsultbolag som hjälper organisationer att identifiera och implementera affärsvärde genom AI-lösningar. Med expertis inom dator vision, natural language processing, business analytics och AI-enabled software levererar de skräddarsydda lösningar från proof-of-concept till full deployment. DeepLogic accelererar digital transformation genom att göra avancerad AI-teknologi tillgänglig och mätbar för företag i olika branscher.
2207;Entercard;entercard.se;Entercard är ett nordiskt kreditkortsbolag som erbjuder finansieringslösningar och förmånsprogram för att förenkla kunders vardag. Med produkter som re:member flex,  privatlån, Coop Mastercard och LO Mervärde-kort kombinerar Entercard betalningslösningar med kundlojalitet. Företaget lanserar också innovativa förmånserbjudanden som Superdealen med upp till 30% rabatt hos utvalda återförsäljare.
1574;Scrive AB;https://www.scrive.com/;Scrive är den nordiska marknadsledaren inom elektroniska signaturer och identifieringslösningar, grundat 2010 med huvudkontor i Stockholm. Med över 10 000 kunder i 50+ länder automatiserar Scrive onboarding och avtalsprocesser genom sin molnbaserade plattform. Som en pålitlig digitaliseringspartner hjälper Scrive företag av alla storlekar, inklusive högregulerade branscher, att driva kundupplevelse, säkerhet, compliance och datakvalitet.
2078;Four PR;https://www.fourpr.se;Four PR är en Örebrobaserad PR- och kommunikationsbyrå med kunduppdrag över hela Skandinavien. De hjälper organisationer att hitta sin roll i samhället och skapar insiktsdriven kommunikation som genererar affärsnytta. Four PR stöttar kunder med att nå mål som ökad försäljning, stärkt varumärke, fler medlemmar eller ökat samhällsengagemang.
1785;Derome AB;https://www.derome.se;Derome är Sveriges största familjeägda träindustri med kontroll över hela värdekedjan från skog till färdigt hus. Med över 75 års erfarenhet erbjuder Derome förädling av skog, produktion och försäljning av trä- och byggprodukter, maskinuthyrning, bygglogistik samt utveckling av bostäder och bostadsområden i trä. Företaget driver hållbar utveckling i alla led och förenklar kundens vardag genom helhetslösningar inom bygg och boende.
2148;GF Piping System;https://www.gfps.com/sv-se.html;GF Industry and Infrastructure Flow Solutions är en global ledare inom rörsystem för säker och tillförlitlig transport av vätskor och gaser. Med över 200 års historia från Georg Fischer-koncernen levererar GF innovativa plast- och metallbaserade lösningar för industri, infrastruktur och kemisk process. Företaget fokuserar på korrosionsfria alternativ, procesautomation och hållbarhet genom underhållsfria och kostnadseffektiva system med lång livslängd.
1334;Segula Technologies AB;https://sverige.segulatechnologies.com/sv/;SEGULA Technologies är en global ingenjörskoncern med expertis inom fordonsindustri, flyg, energi, järnväg, telekom och life sciences. Med närvaro i över 30 länder och 140 kontor världen över stödjer företaget kunder genom hela produktutvecklingscykeln. I Sverige fokuserar SEGULA på tre kärnområden: inbyggda system, IT och mekanik, och levererar innovativa tekniklösningar från forskning till industrialisering.
1910;Drake Analytics AB;https://www.drakeanalytics.se/;Drake Analytics hjälper organisationer att strategiskt använda sin data för att fatta datadrivna beslut och lösa komplexa affärsproblem. Med expertis inom Business Intelligence, AI & automation, data management och process mining levererar de anpassade analys- och rapporteringslösningar. Drake Analytics strukturerar och visualiserar data så att alla i organisationen kan ta smartare beslut som driver verksamheten framåt.
2026;Huddinge kommun;https://www.huddinge.se;Huddinge är Stockholms läns näst största kommun med 114 000 invånare, 10 000 företag och stark entreprenörsanda. Kommunen ligger bara 15 minuter från Stockholm C och kännetecknas av snabb tillväxt, unika naturmiljöer och ett mångsidigt näringsliv. Huddinges vision är att bli en av de tre populäraste kommunerna i Stockholms län att bo, besöka och verka i.
1880;IST Group;https://www.ist.com;IST är Skandinaviens ledande edtech-företag med hemmamarknader i Sverige, Norge, Danmark och Tyskland. I över 40 år har IST förenklat vardagen för skolor genom att leverera produkter och lösningar för administration, lärande, schemaläggning och föräldrakommunikation. Med 400 anställda, varav hälften med bakgrund som lärare eller skolledare, betjänar IST över 5 miljoner användare och bidrar till en effektivare och mer kvalitativ utbildning.
1652;Scling;https://www.scling.com/;Scling erbjuder industrialiserad dataengineering och bygger skalbara dataplattformar baserad på de principer som de mest datamogna företagen använder. De levererar custom data- och AI-lösningar som skapar hållbart värde genom att möjliggöra AI-drivna produktfunktioner, analytics, processautomation och autonoma agenter. Sclings mission är att ge företag samma data- och AI-kraft som born-digital tech-eliten.
1819;Inera AB;inera.se;Inera är Sveriges digitala ingång till hälsa, vård och omsorg och utvecklar gemensam digital infrastruktur för en sammanhållen välfärd. På uppdrag av kommuner och regioner skapar Inera förutsättningar för digitalisering genom att tillhandahålla arkitektur och plattformar. Deras vision är att bidra till världens mest innovativa och omtänksamma välfärd.
1626;KDC SWEDEN;kdc.se;KDC Sweden är ett IT-konsultbolag som specialiserar sig på webb- och mobilapplikationsutveckling med fokus på långsiktigt hållbart värde. Genom relationsfokuserat samarbete präglat av lyhördhet, kvalitet och kontinuerligt lärande hjälper KDC kunder att ta tillvara digitaliseringens möjligheter. De arbetar med affärsstrategiska utmaningar som digitaliseringsresan innebär.
1733;Klarna Bank AB;klarnabank.com;Klarna är ett AI-drivet globalt betalnings- och handelsnätverk som gör shopping smartare och mer flexibel. Med över 111 miljoner användare och 2.9 miljoner dagliga transaktioner erbjuder Klarna betalningslösningar som ger konsumenter valfrihet att betala direkt, senare eller genom finansiering. Företaget betjänar över 790 000 handlare inklusive Uber, H&M, Nike och IKEA, och kombinerar betalningar med personaliserad shopping och marknadsföringslösningar.
1867;Konsumentverket;https://www.konsumentverket.se;Konsumentverket är en svensk myndighet som bidrar till väl fungerande marknader för både konsumenter och företag. Med cirka 190 anställda i Karlstad arbetar myndigheten med tillsyn, information till företag och vägledning till tusentals konsumenter varje månad. Konsumentverket fokuserar på konsumentnytta och arbetar med frågor som berör alla, från köp av varor och tjänster till digital säkerhet och hållbar konsumtion.
2066;Bixia AB;https://www.bixia.se/;Bixia är ett svenskt elhandelsbolag som levererar 100% förnybar el från sol, vind och vatten via lokala producenter. Företaget erbjuder ett brett utbud av elavtal, solcellslösningar och energitjänster för att hjälpa kunder sänka sina elkostnader och öka hållbarheten. Genom appen Mitt Bixia får kunder realtidsinsikter i sin elförbrukning och fullständig kontroll över sina elkostnader.
1504;Folksam;folksam.se;Folksam är Sveriges ledande försäkringsbolag som försäkrar flest hem och 900 000 bilar i landet. Utöver försäkringar för hem, bil, liv, hund och olycksfallsskydd erbjuder Folksam sparande- och pensionsprodukter samt hälsostöd till sina kunder. Med principen "tillsammans delar vi på riskerna" arbetar Folksam för att göra vardagen enklare och säkrare för svenska familjer.
1635;Flow Innovate Sweden AB;https://flowinnovate.com/;Flow Innovate är en leverantör av Retail Tech-lösningar som hjälper fysiska butiker att inte missa digitaliseringen och AI-revolutionen. Med AI-drivna lösningar för retail stärker Flow Innovate butikernas konkurrenskraft och effektivitet. Deras vision är att den som använder AI inom retail kommer att överleva medan de som inte gör det hamnar på efterkälken.
1964;Kapharos;kapharos.se;Kapharos erbjuder utveckling, forskning och utbildning inom AgeTech, HealthTech och neurokognitiva störningar. Genom forskningsbaserade metoder och praktisk kompetens stöttar Kapharos organisationer att leda utvecklingen inom hälsa, vård och omsorgs-innovation. Företaget är tillgängligt för både kortsiktiga och långsiktiga projektsamarbeten.
2061;Lindahl;lindahl.se;Lindahl är en av Sveriges ledande affärsjuridiska advokatbyråer med över 300 medarbetare på sex kontor i Stockholm, Göteborg, Malmö, Uppsala, Örebro och Helsingborg. Med lång erfarenhet och hög kompetens inom affärsjuridikens alla områden levererar Lindahl rak och tydlig rådgivning med affärsnyttan i fokus. Byråns mål är att hjälpa varje klient nå sin fulla potential genom skräddarsydda eller standardiserade lösningar.
1670;Maverick at Nexer AB;https://nexergroup.com/sv/maverick/vi-ar-maverick/;Maverick är en kreativ full-service digital byrå inom Nexer-koncernen, grundad 2010 och med kontor i Göteborg, Stockholm, Malmö och Bangalore. Byrån levererar forskning, strategi, koncept, design och produktion för kunder som AstraZeneca, Volvo Cars och Sigma IT. Mavericks erbjudande omfattar branding, förändringskommunikation, content marketing och tech innovation med expertis inom art direction, UX, utveckling och strategisk planering.
1760;Blackwell Medtech;https://www.blackwell.se/;Blackwell Medtech utvecklar ALMA, en AI-driven digital kollega som analyserar journaldata och stödjer läkare i kliniska beslut. ALMA går automatiskt igenom hela journalen vid varje patientmöte, varnar för avvikelser från riktlinjer och föreslår färdiga remisser, provbeställningar och läkemedelsordinationer. Lösningen ökar patientsäkerheten, förbättrar kvaliteten i vården och ger vårdpersonal mer tid till patienten.
1871;Mint;https://mint.se;Mint är ett konsultbolag med seniora konsulter inom ledarskap, affärsutveckling, tech och design som hjälper företag bli kundfokuserade. De kompletterar och stärker organisationer i förändring med roller som interimsledare, projekt-/programledare, systemarkitekt, CTO, CDO och produktägare. Mints vision är att möta digitaliseringsbehov med konsulttjänster som snabbt skapar värde och stöttar digitalisering inifrån.
1130;RISE;https://www.ri.se/sv;RISE är Sveriges statliga forskningsinstitut och en unik kraftsamling för att öka samhällets innovationstakt. Genom att samla flera forskningsinstitut och över hundra testbäddar i en innovationspartner skapar RISE bättre förutsättningar för samhällets problemlösare. I samverkan med näringsliv, akademi och offentlig sektor utvecklar RISE tjänster, produkter, teknologier och processer som bidrar till en hållbar framtid och konkurrenskraftigt näringsliv.
1658;Office Depot;https://www.officedepot.se;Office Depot är Sveriges största kontorsvaruhus på webben med tusentals produkter och snabba leveranser. Som kontorets one-stop-shop erbjuder de ett brett sortiment av kontorsinredning, kontorsmaterial och lösningar där kunder kan handla allt från samma leverantör. Färre fakturor, transporter och leveranser sparar tid och effektiviserar arbetet för företag.
2215;HAX AB;https://www.haxtechnologies.eu/sv/about-svenska/;HAX Technologies är den naturliga partnern för företag som vill öka prestanda och produktivitet hos sina hydraulpressar. Med bred erfarenhet inom hydraulik, automation och processkunnande konstruerar, producerar, installerar och underhåller HAX hydraul- och styrsystem till hydraulpressar. Som Rockwell Automation systemintegratör på bronsnivå levererar HAX lösningar baserade på produkter från Bosch Rexroth, Siemens och Allen-Bradley.
1520;Telia Sverige AB;https://www.teliacompany.com/sv;Telia är marknadsledare på den svenska telekommunikationsmarknaden med 15 000 anställda som betjänar miljontals kunder i Norden och Baltikum. Med det största nätverket i Sverige erbjuder Telia ett brett utbud av telekommunikationstjänster under varumärkena Telia, Halebop, Fello och Telia Cygate. Företaget är navet i det digitala ekosystemet och möjliggör för människor, företag och samhällen att hålla kontakten 24/7/365.
1578;Västerås stad;https://www.vasteras.se;Västerås stad är en kommun där medarbetare tillsammans bygger samhället och får en hel stad att fungera. Med en stor variation av yrken arbetar alla med samma uppgift - att erbjuda service och tjänster till Västerås invånare. På vasteras.se kan medborgare använda kommunens digitala tjänster och hitta svar på vanliga frågor kring kommunens uppdrag och service.
1577;Bazaro sverige AB;https://bazaro.se/;Bazaro erbjuder innovativa lösningar för automatiserad fakturahantering och realtids-kökshantering inom restaurangbranschen. Med Bazaro InvoiceIQ får restauranger centraliserad fakturahantering, automatisk kodning, realtidsanalys av prisförändringar och sömlös integration med befintliga system. Den kommande KitchenFlow-lösningen förenklar lagerhantering, beställningar och receptspårning för maximal kontroll och lönsamhet.
1631;Qumea;qumea.se;Qumea utvecklar digital rörelsemonitorering som mäter kontaktlöst och anonymt mänskliga rörelser i patientrum. Vårdpersonalen får automatiskt och dygnet runt information om patienters rörelsemönster och varnas i realtid om patienten behöver hjälp. QUMEAs lösning ökar patientsäkerheten, stöder vårdpersonal i deras arbete och ger relevant information för kliniska beslut.
1873;r360 Resort Systems AB;https://www.r360.se;r360 är ett affärssystem utvecklat specifikt för resorts och fjällvärlden, som säljs av r360 Resort Systems AB i Halmstad. Med 19 anställda fördelade på utveckling, support och försäljning levererar r360 en modern bokningsupplevelse för gäster samtidigt som arbetet effektiviseras genom ett enda system för alla bokningstyper. Företaget är ett familjärt team med stor passion för fjällvärlden och resorts.
2183;Riskovate Advisory;https://www.riskovate.se;Riskovate hjälper organisationer att förvandla risker till strategiska möjligheter genom att kombinera expertis inom riskhantering, AI och digital transformation. Med konceptet Rosa svanar visar Riskovate hur underskattade risker kan bli nya möjligheter och utvecklar proaktiva ramverk som balanserar hot och möjligheter. Målet är att ge företag och offentliga verksamheter resiliens, tillväxt och konkurrensfördelar i en komplex och reglerad värld.
1858;RoCom AB;https://www.rocom.se;RoCom erbjuder bekymmersfria IT-lösningar som extern IT-avdelning för företag och organisationer i Sverige. Med tjänster inom unified communications, IP-telefoni, data och relaterade tjänster ger RoCom kunder en kvalificerad IT-avdelning utan att behöva anställa. Företaget levererar pålitliga och säkra lösningar inom telekom, nätverk och IT-infrastruktur.
1149;Vinnova;https://www.vinnova.se;Vinnova är Sveriges innovationsmyndighet som öppnar upp för innovation som ger hållbara lösningar och stärker svensk konkurrenskraft. Genom finansiering, samverkansarenor och internationella samarbeten stöttar Vinnova innovation inom områden som digitalisering, hälsa, mobilitet, säkerhet och hållbarhet. Vinnova arbetar med systeminnovation och missionsorienterade metoder för att möta samhällets stora utmaningar tillsammans med näringsliv, akademi och offentlig sektor.
2111;Post- och telestyrelsen;https://pts.se/;Post- och telestyrelsen (PTS) är den svenska myndighet som bevakar elektronisk kommunikation och post för att säkerställa säker och tillgänglig kommunikation i Sverige. PTS arbetar med marknadskontroll, regelefterlevnad, radiospektrum och konsumentskydd inom tele- och postsektorn. Myndigheten driver också initiativ som Digitalidag för att stödja personer i den digitala omställningen.
2157;Sigholm Tech;sigholmtech.se;Sigholm Tech erbjuder högkvalitativa tjänster inom samhällsbyggnad med energi i fokus och expertis inom hela energisystemet. Med kontor i Stockholm, Göteborg, Västerås och Luleå arbetar deras team av ingenjörer, data-scientists, analytiker och energistrateger med digitalisering och automation. Sigholm kombinerar förståelse för kundens verksamhet med teknisk kompetens för att driva industrins viktigaste framtidssatsningar i hållbar riktning.
1495;Skandia;https://www.skandia.se;Skandia är ett pensionsbolag som erbjuder tjänstepension med förebyggande hälsoförsäkring för att bygga trygg pension och hålla kunder friska på vägen dit. Med förvaltning av över 600 miljarder kronor och mer än två miljoner kunder förenklar Skandia sparandet genom rådgivning och ansvarsfulla investeringar. Företaget erbjuder också bank för bolån och sparande så kunder kan samla allt från pension till betalningar på samma ställe.
1854;Skyresponse AB;https://www.skyresponse.com;Skyresponse är ett svenskt teknikbolag grundat 2012 som levererar alarm- och händelsehantering främst inom personlig omsorg, äldreomsorg och personlig säkerhet samt smarta byggnader. Företaget hanterar över 16 miljoner larm och händelser per månad för mer än 700 slutkunder i Europa. Med kontor i Stockholm, Luleå, Ukraina och Storbritannien arbetar Skyresponse med en indirekt försäljningsmodell genom över 15 kanalpartners i 9 länder.
1572;Socialstyrelsen;socialstyrelsen.se;Socialstyrelsen är Sveriges kunskapsmyndighet för vård och omsorg som arbetar för att människor ska få tillgång till god vård på lika villkor. Myndigheten ansvarar för frågor inom hälso- och sjukvård, socialtjänst och tandvård samt driver utveckling av ny socialtjänstlag, donationsregister och SRHR-strategier. Socialstyrelsen stödjer också kommuner och regioner med beredskapsplanering, förstärkningsteam och analysverktyg för äldreomsorg.
1753;Sollentuna kommun;sollentuna.se;Sollentuna är en växande kommun med över 70 000 invånare och cirka 2700 anställda, känd för sitt progressiva socialarbete och ledande skolverksamhet. Kommunen har vunnit andra plats i Svenskt Näringslivs rankning av lokala företagsklimat två år i rad och siktar på att bli bäst i Sverige. Med cirka 4000 företag, varav de flesta är små, erbjuder Sollentuna högkvalitativ service och pågående stora byggprojekt för att möta tillväxten.
1434;SAYP;sayp.se;SAYP är specialister på mjukvarulösningar för processhantering och erbjuder SaaS-lösningar som effektiviserar operationellt kritiska processer. Företaget hjälper kunder från olika branscher att hantera komplexa arbetsflöden genom skräddarsydda system som möter organisationers funktionella och affärskritiska behov. SAYP utvecklar verktyg och metoder som skapar maximalt affärsvärde samtidigt som de säkerställer framgångsrik digital transformation.
1856;Stakater;https://www.stakater.com/;Stakater erbjuder expertlösningar för snabbare Kubernetes-adoption och DevSecOps-automation i både on-prem och molnmiljöer. Genom modulära implementeringar bygger de pålitliga och säkra full-stack deployment-miljöer anpassade efter kunders verktygsval och branschens bästa praxis. Stakater levererar både DevOps-konsultation och DevOps-as-a-Service för att optimera och automatisera produktionssystem.
2146;Stockholm stad;https://start.stockholm/;Stockholm stad är Sveriges huvudstad med cirka 960 000 invånare och omkring 40 000 anställda som arbetar för alla stockholmare idag och i framtiden. Organisationen driver stadens alla tjänster och verksamheter med fokus på innovation och hållbarhet. Stockholm stad söker medarbetare som vill tänka stort, nytt och annorlunda för att förverkliga miljoner drömmar och ambitioner.
1664;Sundbybergs stad;https://www.sundbyberg.se;Sundbybergs stad, känd som "Sumpan", är Sveriges minsta kommun till ytan men samtidigt den näst snabbast växande med över 50 000 invånare. Med närhet till Stockholm city, flygplatser och en stadskärna med alla allmänna kommunikationer erbjuder Sundbyberg ett attraktivt läge för boende och företag. Kommunen kombinerar liten yta med stark tillväxt och utmärkt infrastruktur.
1692;Nimo AI;nimoai.com;Nimo AI är Sveriges första specialiserade AI- och automationsbyrå grundad 2021 som hjälper företag effektivisera verksamheten genom skräddarsydda AI-automationer och AI-agenter. Företaget erbjuder AI-utveckling, AI-konsultation och AI-utbildning som frigör tid och resurser för team. Nimo AI har sedan starten varit pionjärer inom AI-lösningar för svenska företag.
1405;Dell Technologies;https://www.delltechnologies.com;Dell Technologies är världens största IT-infrastruktursföretag som hanterar sömlösa lösningar från skrivbord till datacenter och molnet. Med fokus på att driva mänsklig utveckling genom teknologi levererar Dell allt från PC och skärmar till servrar, nätverk, lagring och multicloud-upplevelser. Företaget arbetar med strategisk innovation och hållbarhet för att möjliggöra digital transformation för sina kunder och samhällspartners.
1991;TechSeed;https://www.techseed.se;TechSeed driver innovation med fokus på hållbarhet och tror att teknologi är lösningen på världens största utmaningar. Med kontor i Sverige, Norge och internationellt arbetar TechSeed som innovationspartner för att utveckla och kommersialisera hållbara tekniklösningar. Företagets vision "Seeding Innovation. Growing Sustainability" genomsyrar allt arbete med strategisk affärsutveckling och teknik.
1874;Techstep;techstep.se;Techstep är en komplett leverantör av mobil teknik som hjälper företag arbeta smartare, säkrare och mer hållbart från var som helst. Med över 350 anställda i Norge, Sverige, Danmark och Polen betjänar Techstep mer än 2000 stora och medelstora europeiska företag. Företaget förenklar hanteringen av mobila enheter från inköp till återvinning och levererar skalbara lösningar som ökar produktivitet och uppfyller ESG-löften.
1904;Billogram AB;https://www.billogram.com;Billogram transformerar invoice-to-cash-processen genom sin intelligenta plattform som orkestrerar betalningar, stärker kundrelationer och minskar churn. Plattformen levererar operativ effektivitet och en sömlös betalningsupplevelse som gynnar både företag och deras kunder. Med cirka 100 drivna medarbetare utmanar Billogram den traditionella faktureringsvärlden och bygger tjänster för framtiden.
1142;Unbiased;https://unbiased.cc/;Unbiased är en prisbelönt svensk tech-startup som bekämpar etiska utmaningar inom AI och BigData med hjälp av blockchain-teknologi. Deras Data Marketplace-plattform är en B2B-lösning som tillhandahåller integritetsskyddade och decentraliserade AI-utvecklingsverktyg för företag. Unbiased erbjuder också transparent datainsamling, annotering och analys med blockchain-certifikat för att bidra till innovation och ett bättre samhälle.
1556;Akademiska sjukhuset / Uppsala University Hospital;akademiska.se;Akademiska sjukhuset är ett av Sveriges ledande sjukhus med flera roller: länssjukhus, specialistsjukhus, utbildningssjukhus och forskningssjukhus. Med omfattande specialistkompetens och avancerad medicinsk utrustning erbjuder sjukhuset vård inom alla medicinska specialiteter. Akademiska sjukhuset driver också banbrytande forskning och utbildar framtidens vårdpersonal i samarbete med Uppsala universitet.
2145;Almi;almi.se;Almi ger näring åt Sverige genom att erbjuda finansiering i form av lån och riskkapital samt stöd inom affärsutveckling till små och medelstora företag. Företaget ägs av staten och arbetar för att alla företag med potential ska få samma möjlighet till hållbar tillväxt. Almi kombinerar ekonomiskt stöd med affärsutvecklingsverktyg som Hållbarhetsdialogen för att rusta företag för framtiden.
1768;Integritetsskyddsmyndigheten;https://www.imy.se/;Integritetsskyddsmyndigheten (IMY) arbetar för att skydda alla svenskars personuppgifter om hälsa, ekonomi och annat så att de hanteras korrekt och inte hamnar i orätta händer. Myndigheten utövar tillsyn över GDPR-efterlevnad, driver regulatoriska sandlådor för innovationsprojekt och erbjuder vägledning och utbildning. IMY arbetar också internationellt genom Europeiska dataskyddsstyrelsen (EDPB) för att harmonisera dataskyddsregler.
2134;Live Squared AB;https://www.live2.se;Live Squared är en gotländsk startup som fokuserar på AI och skriven media för att skapa ett mer öppet och demokratiskt samhälle. Genom att använda AI för att snabba upp nyhetsflödet och samla information från offentliga organisationer bidrar Live2 till transparens och tillgång till korrekt information till låg kostnad. Företaget hjälper redaktioner effektivisera genom AI samtidigt som journalister frigörs för mer djuplodande arbete.
2091;Nacka kommun;https://www.nacka.se/;Nacka kommun är en av Sveriges mest attraktiva kommuner med drygt 100 000 invånare och ett fantastiskt läge mellan natur, hav och Stockholm city. Kommunen växer och bygger stad med ambitionen att vara bäst på att vara kommun. Med många nytänkande initiativ och engagerade medarbetare arbetar Nacka för att varje dag förverkliga sin vision om en ledande kommun att bo, leva och verka i.
