company_id,company_name,search_query_1,best_match_1,found_orgnr_1,search_query_2,best_match_2,found_orgnr_2,suggested_orgnr,confidence_score,suggestion_reason,verified_orgnr,notes
2298,If Insurance,If Insurance site:allabolag.se,,516403-8266,If Insurance site:bolagsfakta.se,Nacora International Insurance Brokers AB,556577-8304,556577-8304,0.90,Endast ett org.nr hittades: Nacora International Insurance Brokers AB,,
1957,KAN Agency,KAN Agency site:allabolag.se,Hoss Agency AB,559065-6210,KAN Agency site:bolagsfakta.se,SION Agency AB,559188-0637,559188-0637,0.76,Bästa namnmatchning: 'SION Agency AB' (76% likhet),,
2131,Kodehash Technologies,Kodehash Technologies site:allabolag.se,Enerhash Technologies AB,559316-2349,Kodehash Technologies site:bolagsfakta.se,Telness Technologies AB,559263-0700,559316-2349,0.86,Bästa namnmatchning: 'Enerhash Technologies AB' (86% likhet),,
1453,Landing AI,Landing AI site:allabolag.se,,556477-9378,Landing AI site:bolagsfakta.se,Green AI Cloud AB,556356-9192,556356-9192,0.90,Endast ett org.nr hittades: Green AI Cloud AB,,
1620,Laurent Pasquier,Laurent Pasquier site:allabolag.se,,556021-9338,Laurent Pasquier site:bolagsfakta.se,366 Plat och Teknik AB,556350-5196,556350-5196,0.90,Endast ett org.nr hittades: 366 Plat och Teknik AB,,
1830,Maria Strand,Maria Strand site:allabolag.se,Maria Strand,,Maria Strand site:bolagsfakta.se,Norstedts Juridik AB,556226-6097,556226-6097,0.90,Endast ett org.nr hittades: Norstedts Juridik AB,,
1670,Maverick at Nexer AB,Maverick at Nexer AB site:allabolag.se,Nexer AB,556451-9345,Maverick at Nexer AB site:bolagsfakta.se,Nexer AB,556451-9345,556451-9345,0.50,Första hittade: Nexer AB (låg namnlikhet),,
1505,MinnaLearn,MinnaLearn site:allabolag.se,,,MinnaLearn site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1589,MoogleLabs,MoogleLabs site:allabolag.se,,,MoogleLabs site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1492,Mölnlycke Health Care AB,Mölnlycke Health Care AB site:allabolag.se,Mölnlycke Health Care AB,556547-5489,Mölnlycke Health Care AB site:bolagsfakta.se,Molnlycke Health Care AB,556547-5489,556547-5489,0.95,Bästa namnmatchning: 'Mölnlycke Health Care AB' (100% likhet),,
1364,QuantumBlack by McKinsey,QuantumBlack by McKinsey site:allabolag.se,,556298-7213,QuantumBlack by McKinsey site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
2043,Saab AB,Saab AB site:allabolag.se,UNIONEN KLUBBEN PÅ SAAB AB,822001-4735,Saab AB site:bolagsfakta.se,SAAB Aktiebolag,556036-0793,556036-0793,0.95,Bästa namnmatchning: 'SAAB Aktiebolag' (100% likhet),,
